,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factors,,,,,Factors,,,,,,Performance,,,"Skew of last 1M All deals on T, T-1, T-3",,,,"Skew of last 1M Sector deals deals on T, T-1, T-3",,,,,,Average Returns from T-2w to last 3 days,,
UID for GAP,Ticker US,Pricing Date,First Trade Date,Instrument Des,Fo Type,Factset Ticker,Bloomberg Ticker,Issue Price,Shares Offered,Sector,Market Cap ($M) on PD,Shares Out,% Primary ,% Secondary,,a. 100% Primary Deal,b. 100% Secondary Deal,c. Both Primary & Secondary Deal,d. Discount,e. Lead Underwriter as GS/MS vs. Others,g. Sponsor or Non-Sponsor Deal,j. Size of Deal,k. Upsized,m. Hedge Fund Manager's Stake,l. Institutional sponsorship/ownership,Insider Selling,HRH 1M,HRH 3M,IPO Lock up Expiry,FO Lockup Expiry,a. Performance since IPO,b. Performance since Last Deal,c. First Follow-On post IPO?,Precedent Bookrunner,Precedent Discount,Precedent Good?,Precedent Performance (1M),Precedent Price,Precedent Relevent -Within 2 years?,,EV/Sales Fwd,EV/EBITDA Fwd,Forecast fwd. P/E,Forward FCF Yield,Forward P/S,P/BV,Trailing FCF Yield (FCF/P),8. Current P/B relative to Sector Avg.,9. Current P/E relative to Sector Avg.,10. Current P/B relative to SPX,11. Current P/E relative to SPX,Trailing ROE,Leverage (net debt/EBITDA),Current Dividend Yield > 4%, Forward Dividend Yield > 4%, Revenue Growth > 10%, EBITDA Margin Relative to Sector Average,Gross Margin Relative to Sector Average,Value Stock,Growth Stock,Liabilities/Assets ,Sales/Assets ,Working capital/Assets ,Net Income to Operating CF,,1. Analyst Recommendation: Buy or Hold/Sell,2. Price as a multiple of 10DMA,3. Price as a multiple of 20DMA,4. Price as a multiple of 50DMA,5. Price as a multiple of 100DMA,6. Price as a multiple of 200DMA,7. Current Analysts Recco. Rating on a scale of 5,8. Analysts Recco. at T-3M,9. Analysts Recco. at T-6M,10. Analysts Recco. at T-12M,11. PT at T,12. PT at T-3M,13. PT at T-6M,14. PT at T-9M,15. PT at T-12M,16. Revision from -3M to T,17. Revision from -6M to -3M,18. Revision from -9M to -6M,19. Revision from -12M to -9M,20. Upside to Price Target from Current Price,21. Small/Large Cap Company,22. Beta,23. Directional movement indicator (DMI),24. Moving average convergence/ divergence indicator (MACD),25. RSI,26. Put-Call ratio,28. Issue Price (<$5),29. Issue Price ($5-$10),30. Issue Price (>$10),31. SI as % of float > 10%,32. SI as % of outstanding shares,33. Float as % of Shares Outstanding > 25%,34. Volatility 30D,35. Volatility 60D,36. Volatility 90D,37. ADTV 1M,38. ADTV 3M,39. ADTV MULT 1M,40. ADTV MULT 3M,41. Guidance/Earning week before,42. Guidance/Earnings day of Issue,43. Positive (or negative) Earnings Surprise,44. Positive (or negative) Revenue Surprise,45. Price Movement (T-1D to T+1D) around Quarterly Results,46. 11-month price momentum,47. Stock Price vs. 50DMA,48. Sector ETF Price vs. 50DMA,49. 1Day price Change Stock,50. 1Week price Change in Stock,51. 1Month price Change in Stock,52. 3Months price Change in Stock,53. Member of R1K & Shares Offered > 5% of Shares Out,54. Member of R2K & Shares Offered > 5% of Shares Out,55. Member of R3K & Shares Offered > 5% of Shares Out,56. Member of S&P 400 & Shares Offered > 5% of Shares Out,57. Member of S&P 500 & Shares Offered > 5% of Shares Out,58. Member of S&P 600 & Shares Offered > 5% of Shares Out,,Last Month Volume vs Avg. Last 3 yrs,Last Month Volume vs Last 1 yr,Last Month Opp. Value vs Avg. Last 3 yrs,Last Month Opp. Value vs Last 1 yr,,Last Week Volume vs Avg. Last 3 yrs,Last Week Volume vs Last 1 yr,Last Week Opp. Value vs Avg. Last 3 yrs,Last Week Opp. Value vs Last 1 yr,,,T-3 to T,T-2 to T,,Skew_1M_T,Skew_1M_T-1,Skew_1M_T-3,,Sec_Skew_1M_T,Sec_Skew_1M_T-1,Sec_Skew_1M_T-3,,,,T-2WDeals_Avg_T-1D,T-2WDeals_Avg_T-2D,T-2WDeals_Avg_T-3D
LAMR US 20011,LAMR,1/11/2001,1/12/2001,Lamar Advertising Co,M/O,LAMR-US,LAMR US,43.25," 5,000,000 ",Financials," 4,467 "," 79,895,000 ", -   , 100 ,,N,Y,N,-0.29%,N,N,"216,250,000 ",D,3.69%,,N,12.4%,15.7%,N,N,240.7%,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,3.3x,,,,0.6x,0.2x,0.0x,,,Buy,0.82 x,0.84 x,0.81 x,0.79 x,0.81 x,5.0,5.0,5.0,4.0,33.9,33.9,33.9,33.9,33.9,+ve,+ve,+ve,+ve,N,Large,1.1816872, 22.6 , 0.7 ,76.642334,0.04,N,N,Y,N,5.8%,Y,58.4043,62.631073,66.347755,457380.94,442493.66,10.9,11.3,N,N,0.0%,0.0%,-1.8%,-31%,Below,Below,6.1%,6.4%,13.8%,15.7%,Y,N,Y,Y,N,N,,-,-,-,-,,-,-,-,-,,,6.7%,8.1%,,55%,55%,55%,,55%,55%,55%,,,,0.25%,0.25%,0.25%
CCI US 20011,CCI,1/11/2001,1/12/2001,Crown Castle International Corp,M/O,CCI-US,CCI US,26.25," 13,445,200 ",Financials," 5,893 "," 198,245,000 ", 100 , -   ,,Y,N,N,-4.55%,Y,N,"352,936,500 ",D,2.93%,,N,16.5%,,N,N,127.9%,,Y,,,,,,,,9.0x,24.9x,,,6.2x,2.3x,,0.9x,,0.7x,,-11.7x,,N,N,N ,2.6x,,Y,N,0.5x,0.1x,0.1x,,,Buy,0.89 x,0.93 x,0.91 x,0.78 x,0.86 x,5.0,5.0,5.0,5.0,24.4,24.4,24.4,24.4,24.4,+ve,+ve,+ve,+ve,N,Large,1.0920113, 11.3 , 0.5 ,66.233765,,N,N,Y,N,2.0%,Y,100.609764,113.28953,103.4171,1051123.9,1058519,12.8,12.7,N,N,0.0%,0.0%,12.9%,103%,Below,Below,7.7%,0.4%,12.1%,15.3%,Y,N,Y,N,Y,N,,-,-,-,-,,-,-,-,-,,,11.0%,7.2%,,55%,55%,55%,,55%,55%,55%,,,,0.25%,0.25%,0.25%
WMB US 20011,WMB,1/16/2001,1/17/2001,Williams Companies Inc,M/O,WMB-US,WMB US,36.13," 37,950,000 ",Energy," 16,050 "," 440,015,000 ", 100 , -   ,,Y,N,N,-1.70%,Y,N,"1,370,943,750 ",U,5.71%,,N,12.1%,18.0%,N,N,,,Y,,,,,,,,,,,,,2.1x,,0.8x,1.3x,0.6x,0.6x,9.2x,,N,N,N ,,,N,N,0.8x,,0.0x,,,Buy,0.56 x,0.56 x,0.53 x,0.50 x,0.50 x,5.0,5.0,5.0,4.3,15.3,15.3,15.3,15.3,15.3,+ve,+ve,+ve,+ve,N,Large,1.5063971, 24.3 , (0.2),58.724827,0.52,N,N,Y,N,1.0%,Y,73.68858,63.627872,54.034874,2345255,1731675.9,16.2,21.9,N,N,0.0%,0.0%,-3.4%,,Below,Below,-0.3%,4.5%,4.1%,-11.4%,Y,N,Y,N,Y,N,,-,-,-,-,,-,-,-,-,,,-0.3%,-0.3%,,100%,100%,100%,,55%,55%,55%,,,,0.00%,1.82%,0.25%
COF US 20011,COF,1/18/2001,1/19/2001,Capital One Financial Corp,M/O,COF-US,COF US,62.00," 6,750,390 ",Financials," 12,533 "," 196,944,000 ", 100 , -   ,,Y,N,N,-2.36%,Y,N,"418,524,180 ",D,2.89%,,N,14.9%,19.0%,N,N,1136.5%,,Y,,,,,,,,2.3x,19.5x,16.4x,,1.5x,5.1x,,2.0x,1.1x,1.5x,0.7x,23.7x,,N,N,Y ,0.8x,,N,N,0.9x,0.2x,,,,Buy,0.81 x,0.82 x,0.87 x,0.93 x,0.83 x,4.9,4.8,5.0,4.3,51.8,51.8,51.8,51.8,51.8,+ve,+ve,+ve,+ve,N,Large,1.6541982, 17.1 , 1.1 ,50.363197,1.33,N,N,Y,N,2.7%,Y,54.410378,58.994686,55.2663,1526360,1695432.3,4.4,4.0,Y,N,0.0%,0.0%,-1.8%,1042%,Below,Below,-4.0%,-0.2%,8.3%,-7.1%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,-0.1%,-1.8%,,100%,50%,100%,,100%,50%,100%,,,,0.71%,-1.26%,0.00%
WRI US 20011,WRI,1/23/2001,1/24/2001,Weingarten Realty Investors,M/O,WRI-US,WRI US,42.19," 4,700,000 ",Financials," 1,136 "," 60,264,000 ", 100 , -   ,,Y,N,N,0.00%,Y,N,"198,283,600 ",N,2.50%,,N,4.3%,8.2%,N,N,,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.6x,,,,,Buy,0.33 x,0.33 x,0.34 x,0.35 x,0.35 x,5.0,5.0,5.0,4.0,6.5,6.5,6.5,6.5,6.5,+ve,+ve,+ve,+ve,N,Large,1.1659825, 35.8 , 0.0 ,43.26244,,N,N,Y,N,0.3%,Y,26.370356,20.980804,17.946085,133706.25,95853.625,35.2,49.0,N,N,0.0%,0.0%,-1.1%,,Below,Below,-0.1%,-5.3%,-4.0%,5.3%,Y,N,Y,Y,N,N,,-,-,-,-,,-,-,-,-,,,-3.7%,-3.7%,,100%,75%,75%,,100%,67%,67%,,,,0.72%,-0.81%,2.20%
FLEX US 20012,FLEX,2/1/2001,2/2/2001,Flextronics International Ltd,M/O,FLEX-US,FLEX US,37.94," 27,000,000 ",Information Technology," 17,081 "," 464,386,000 ", 100 , -   ,,Y,N,N,-1.22%,Y,N,"1,024,312,500 ",U,15.66%,,N,19.2%,29.0%,N,N,,6%,N,,,,,,,,,23.0x,,,,5.7x,,1.7x,,1.7x,1.1x,13.6x,,N,N,Y ,0.2x,,N,Y,0.5x,1.7x,0.2x,,,Buy,1.01 x,1.13 x,1.27 x,1.13 x,1.14 x,5.0,5.0,4.0,5.0,38.9,38.9,38.9,38.9,38.9,+ve,+ve,+ve,+ve,N,Large,1.6418289, 14.3 , 2.7 ,67.5,0.09,N,N,Y,N,1.8%,Y,132.6999,136.9003,126.16733,11026827,9843615,2.4,2.7,N,N,0.0%,0.0%,8.7%,,Above,Below,2.0%,7.4%,61.1%,4.4%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,-2.4%,-2.4%,,80%,80%,80%,,55%,55%,55%,,,,-1.82%,-1.84%,1.40%
CIEN US 20012,CIEN,2/5/2001,2/6/2001,CIENA Corp,M/O,CIEN-US,CIEN US,83.50," 11,000,000 ",Information Technology," 24,346 "," 41,095,287 ", 100 , -   ,,Y,N,N,-7.28%,Y,N,"918,500,000 ",U,7.20%,,N,34.3%,53.2%,N,N,388.1%,,Y,,,,,,,,,,,,,,,,,,3.4x,19.2x,,N,N,Y ,1.4x,,N,Y,0.4x,0.5x,0.6x,,,Buy,0.91 x,0.93 x,0.95 x,0.95 x,0.84 x,4.7,5.0,3.0,5.0,591.5,591.5,591.5,591.5,591.5,+ve,+ve,+ve,+ve,N,Large,1.6474477, 9.8 , 1.4 ,45.03625,0.57,N,N,Y,N,2.7%,Y,93.02568,171.89777,157.77533,1857210.1,2238538,5.9,4.9,N,N,0.0%,0.0%,19.5%,96%,Below,Below,0.9%,-10.2%,14.2%,-18.2%,N,Y,Y,Y,N,N,,-,-,-,-,,-,-,-,-,,,0.9%,0.9%,,50%,50%,80%,,0%,0%,55%,,,,0.20%,0.43%,-0.60%
HIG US 20012,HIG,2/12/2001,2/13/2001,Hartford Financial Services Group Inc,M/O,HIG-US,HIG US,64.00," 10,000,000 ",Financials," 14,793 "," 225,495,000 ", 100 , -   ,,Y,N,N,4.92%,Y,N,"640,000,000 ",U,6.50%,,N,17.1%,25.6%,N,N,,14%,N,,,,,,,,,,10.8x,,,1.9x,,0.8x,1.0x,0.6x,0.6x,12.9x,,N,N,N ,,,Y,N,1.0x,,-0.2x,,,Buy,0.70 x,0.71 x,0.67 x,0.69 x,0.64 x,4.3,4.6,5.0,4.5,44.6,44.6,44.6,44.6,44.6,+ve,+ve,+ve,+ve,N,Large,1.6478915, 16.0 , (0.1),57.80137,3.33,N,N,Y,N,0.6%,Y,41.79653,45.57086,47.434544,1417428.6,1147740.4,7.1,8.7,N,N,0.0%,0.0%,-1.6%,,Below,Below,0.2%,0.6%,8.2%,-13.0%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,0.2%,0.2%,,40%,43%,43%,,50%,50%,50%,,,,-4.34%,0.56%,-4.47%
ESL US 20012,ESL,2/15/2001,2/16/2001,Esterline Technologies Corp,M/O,ESL-US,ESL US,22.00," 3,220,000 ",Industrials, 402 ," 17,427,000 ", 100 , -   ,,Y,N,N,-19.09%,N,N,"70,840,000 ",D,15.23%,,N,11.0%,23.0%,N,N,,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.4x,,0.4x,,,Buy,0.91 x,0.92 x,0.95 x,1.21 x,1.02 x,4.3,5.0,5.0,5.0,23.1,23.1,23.1,23.1,23.1,+ve,+ve,+ve,+ve,N,Small,1.2406223, 22.5 , 0.1 ,48.734966,,N,N,Y,N,0.5%,Y,57.13947,58.410847,56.27118,105630.44,97967.74,30.5,32.9,N,N,0.0%,0.0%,5.6%,,Below,Below,-6.4%,-11.8%,-14.9%,5.2%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,-13.8%,-8.7%,,17%,50%,40%,,55%,55%,55%,,,,6.50%,-3.14%,0.26%
